submission_id,file_name,method_name,prediction,most_similar,most_similar_index
24,Message,|get||move||validity|,|is||move|,|is||move|,35
24,Message,|set||move||validity|,|set||move|,|set||move|,24
24,Message,|get||code|,|get||code|,|get||code|,37
24,Message,|set||code|,|set||code|,|set||code|,38
24,Message,|get||message|,|get||message|,|get||message|,39
24,Message,|set||message|,|set||message|,|set||message|,40
24,GameBoard,|get||p|,|get||p|,|get||p|,8
24,GameBoard,|set||p|,|set||p|,|set||p|,9
24,GameBoard,|get||p|,|get||p|,|get||p|,6
24,GameBoard,|set||p|,|set||p|,|set||p|,7
24,GameBoard,|is||game||started|,|is||started|,|is||started|,262
24,GameBoard,|set||game||started|,|set||started||started|,|set||started||started|,263
24,GameBoard,|get||turn|,|get||int|,|get||int|,264
24,GameBoard,|set||turn|,set,|e|,1047
24,GameBoard,|get||board||state|,|get||state|,|get||state|,1503
24,GameBoard,|set||board||state|,|set||state|,|set||state|,267
24,GameBoard,|set||board||state|,set,|e|,1047
24,GameBoard,|get||winner|,get,|e|,1047
24,GameBoard,|set||winner|,|set||students|,|set||students|,269
24,GameBoard,|is||draw|,|is||draw|,|is||draw|,270
24,GameBoard,|set||draw|,|set||draw|,|set||draw|,271
24,Move,|get||player|,get,|e|,1047
24,Move,|set||player|,set,|e|,1047
24,Move,|get||move||x|,|get||move||x|,|get||move||x|,920
24,Move,|set||move||x|,|set||move|,|set||move|,1
24,Move,|get||move||y|,|get||move||move|,|get||move||move|,51
24,Move,|set||move||y|,|set||move||y|,|set||move||y|,52
24,Player,|set||type|,|set||type|,|set||type|,31
24,Player,|get||type|,|get||type|,|get||type|,32
24,Player,|set||id|,|set||id|,|set||id|,33
24,Player,|get||id|,|get||id|,|get||id|,34
24,PlayGame,|set||type|,|set||type|,|set||type|,27
24,PlayGame,|get||type|,|get||type|,|get||type|,28
24,PlayGame,|set||id|,|set||id|,|set||id|,29
24,PlayGame,|get||id|,|get||id|,|get||id|,30
65,Message,|is||move||validity|,|is||move|,|is||move|,0
65,Message,|set||move||validity|,|set||move|,|set||move|,1
65,Message,|get||code|,|get||code|,|get||code|,2
65,Message,|set||code|,|set||code|,|set||code|,3
65,Message,|get||message|,|get||message|,|get||message|,4
65,Message,|set||message|,|set||message|,|set||message|,5
65,GameBoard,|is||move||validity|,|is||move|,|is||move|,0
65,GameBoard,|set||move||validity|,|set||move|,|set||move|,1
