submission_id,file_name,method_name,prediction
24,Message,|get||move||validity|,|is||set|
24,Message,|set||move||validity|,|set||is||set|
24,Message,|get||code|,|get||id|
24,Message,|set||code|,|set||id|
24,Message,|get||message|,|get||message|
24,Message,|set||message|,|on||message|
24,GameBoard,|get||p|,get
24,GameBoard,|set||p|,|set||output|
24,GameBoard,|get||p|,get
24,GameBoard,|set||p|,|set||output|
24,GameBoard,|is||game||started|,|is||empty|
24,GameBoard,|set||game||started|,|set||transaction|
24,GameBoard,|get||turn|,|get||id|
24,GameBoard,|set||turn|,|set||id|
24,GameBoard,|get||board||state|,|get||property|
24,GameBoard,|set||board||state|,|set||id|
24,GameBoard,|set||board||state|,|set||value|
24,GameBoard,|get||winner|,|get||id|
24,GameBoard,|set||winner|,|set||id|
24,GameBoard,|is||draw|,|is||empty|
24,GameBoard,|set||draw|,|set||is||set|
24,Move,|get||player|,|get||output|
24,Move,|set||player|,|set||output|
24,Move,|get||move||x|,|get||id|
24,Move,|set||move||x|,|set||id|
24,Move,|get||move||y|,|get||id|
24,Move,|set||move||y|,|set||id|
24,Player,|set||type|,|set||type||type|
24,Player,|get||type|,|get||value|
24,Player,|set||id|,|set||id|
24,Player,|get||id|,|get||id|
24,PlayGame,|set||type|,|set||type||type|
24,PlayGame,|get||type|,|get||value|
24,PlayGame,|set||id|,|set||id|
24,PlayGame,|get||id|,|get||id|
65,Message,|is||move||validity|,|is||set|
65,Message,|set||move||validity|,|set||is||set|
65,Message,|get||code|,|get||id|
65,Message,|set||code|,|set||id|
65,Message,|get||message|,|get||message|
65,Message,|set||message|,|on||message|
65,GameBoard,|is||move||validity|,|is||set|
65,GameBoard,|set||move||validity|,|set||is||set|
65,GameBoard,|get||code|,|get||id|
65,GameBoard,|set||code|,|set||id|
65,GameBoard,|get||message|,|get||message|
65,GameBoard,|set||message|,|on||message|
65,Move,|get||player|,|get||output|
65,Move,|set||player|,|set||output|
65,Move,|get||move||x|,|get||id|
65,Move,|set||move||x|,|set||id|
65,Move,|get||move||y|,|get||id|
65,Move,|set||move||y|,|set||id|
65,Player,|get||type|,|get||value|
65,Player,|set||type|,|set||type||type|
65,Player,|get||id|,|get||id|
65,Player,|set||id|,|set||id|
65,PlayGame,|get||type|,|get||value|
65,PlayGame,|set||type|,|set||type||type|
65,PlayGame,|get||id|,|get||id|
65,PlayGame,|set||id|,|set||id|
65,GameTest,|get||type|,|get||value|
65,GameTest,|set||type|,|set||type||type|
65,GameTest,|get||id|,|get||id|
65,GameTest,|set||id|,|set||id|
65,TicTacToeTest,|get||type|,|get||value|
65,TicTacToeTest,|set||type|,|set||type||type|
65,TicTacToeTest,|get||id|,|get||id|
65,TicTacToeTest,|set||id|,|set||id|
43,PlayGame,main,add
43,PlayGame,|send||game||board||to||all||players|,|set||session|
43,PlayGame,stop,stop
61,PlayGame,main,add
61,PlayGame,|send||game||board||to||all||players|,|set||session|
61,PlayGame,stop,stop
59,PlayGame,main,add
59,PlayGame,|send||game||board||to||all||players|,|set||session|
59,PlayGame,stop,stop
80,PlayGame,main,add
80,PlayGame,|send||game||board||to||all||players|,|set||session|
80,PlayGame,stop,stop
70,Message,|is||move||validity|,|is||set|
70,Message,|set||move||validity|,|set||is||set|
70,Message,|get||code|,|get||id|
70,Message,|set||code|,|set||id|
70,Message,|get||message|,|get||message|
70,Message,|set||message|,|on||message|
70,GameBoard,|is||move||validity|,|is||set|
70,GameBoard,|set||move||validity|,|set||is||set|
70,GameBoard,|get||code|,|get||id|
70,GameBoard,|set||code|,|set||id|
70,GameBoard,|get||message|,|get||message|
70,GameBoard,|set||message|,|on||message|
70,Move,|get||player|,|get||output|
70,Move,|set||player|,|set||output|
70,Move,|get||move||x|,|get||id|
70,Move,|set||move||x|,|set||id|
70,Move,|get||move||y|,|get||id|
70,Move,|set||move||y|,|set||id|
70,Player,|get||type|,|get||value|
70,Player,|set||type|,|set||type||type|
70,Player,|get||id|,|get||id|
70,Player,|set||id|,|set||id|
70,PlayGame,|get||type|,|get||value|
70,PlayGame,|set||type|,|set||type||type|
70,PlayGame,|get||id|,|get||id|
70,PlayGame,|set||id|,|set||id|
97,PlayGame,main,add
97,PlayGame,|send||game||board||to||all||players|,|set||session|
97,PlayGame,stop,stop
82,PlayGame,main,add
82,PlayGame,|send||game||board||to||all||players|,|set||session|
82,PlayGame,stop,stop
27,PlayGame,main,add
27,PlayGame,|send||game||board||to||all||players|,|set||session|
27,PlayGame,stop,stop
9,Message,|set||message|,set
9,Message,|message||json|,|get||string|
9,Message,|get||code|,|get||id|
9,GameBoard,|set||message|,set
9,GameBoard,|message||json|,|get||string|
9,GameBoard,|get||code|,|get||id|
9,Calculator,add,size
9,Calculator,division,|get||double|
9,Move,|set||move|,|set||id|
9,Move,|get||move||x|,|get||id|
9,Move,|get||move||y|,|get||id|
9,Move,|get||player|,get
9,Player,|get||type|,|get||value|
9,Player,|get||id|,|get||id|
9,PlayGame,|get||type|,|get||value|
9,PlayGame,|get||id|,|get||id|
9,CalculatorTest,|test||add|,|test||revisions|
9,CalculatorTest,|test||div||non||zero||denominator|,|test||revisions|
9,CalculatorTest,|test||div||zero||denominator|,|test||count|
42,PlayGame,main,add
42,PlayGame,|send||game||board||to||all||players|,|set||session|
42,PlayGame,stop,stop
5,Message,|is||move||valid|,|is||set|
5,Message,|set||move||validity|,|set||is||set|
5,Message,|get||code|,|get||id|
5,Message,|set||code|,|set||id|
5,Message,|get||message|,|get||message|
5,Message,|set||message|,|on||message|
5,Message,|to||json|,|to||string|
5,GameBoard,|is||move||valid|,|is||set|
5,GameBoard,|set||move||validity|,|set||is||set|
5,GameBoard,|get||code|,|get||id|
5,GameBoard,|set||code|,|set||id|
5,GameBoard,|get||message|,|get||message|
5,GameBoard,|set||message|,|on||message|
5,GameBoard,|to||json|,|to||string|
5,Move,|get||player|,|get||output|
5,Move,|set||player|,|set||output|
5,Move,|get||move||x|,|get||id|
5,Move,|set||move||x|,|set||id|
5,Move,|get||move||y|,|get||id|
5,Move,|set||move||y|,|set||id|
5,Player,|get||type|,|get||value|
5,Player,|set||type|,|set||type||type|
